Paper ID|Paper Title|E-Track ID|E-Track Title|E-Session ID|E-Session Title|Primary Author ID|Primary Author|Primary Author's Country|Authors|Paper's type|Decision|Starting Time|Rank|UTC time|Times Constraints - Day 1|Times Constraints - Day 2|Times Constraints - Day 3
260|Complex systems engineering: multi-scale collective construction in artificial insects|7|Engineering and Control of Self-Organization|129|Invited Talk e-session|429|Seth  Bullock|GB|Seth  Bullock|Advanced Introduction invited talk|0||s|UTC+1|[11,19]|[11,19]|
300|Collective construction|7|Engineering and Control of Self-Organization|129|Invited Talk e-session|471|Justin  Werfel|US|Justin  Werfel|Advanced Introduction invited talk|0||||||
301|Decentralized sensor networks|7|Engineering and Control of Self-Organization|129|Invited Talk e-session|472|Matt  Duckham|AU|Matt  Duckham|Advanced Introduction invited talk|0|||UTC+10|[10,12],[22,24]|[2,4],[8,12]|
361|Artificial chemistries|7|Engineering and Control of Self-Organization|129|Invited Talk e-session|538|Lidia  Yamamoto||Lidia  Yamamoto|Advanced Introduction invited talk|0|||UTC+2|[7,10]|[13,21]|
362|Autonomic computing: autonomic management in open multi-objective computing networks|7|Engineering and Control of Self-Organization|129|Invited Talk e-session|539|Ada  Diaconescu|FR|Ada  Diaconescu|Advanced Introduction invited talk|0||||||
407|Evolutionary collective robotics: embodied evolution and lifelong learning|7|Engineering and Control of Self-Organization|129|Invited Talk e-session|586|Nicolas  Bredeche||Nicolas  Bredeche|Advanced Introduction invited talk|0|||UTC+2||[8,14]|
408|Guided self-organization: information dynamics of complex computation|7|Engineering and Control of Self-Organization|129|Invited Talk e-session|587|Mikhail  Prokopenko||Mikhail  Prokopenko|Advanced Introduction invited talk|0|||UTC+10||[1,2]|
409|Morphogenetic engineering:  toward programmable complex systems|7|Engineering and Control of Self-Organization|129|Invited Talk e-session|588|René  Doursat||René  Doursat|Advanced Introduction invited talk|0|||UTC+2|[7,21]|[6,21]|
410|Organic computing|7|Engineering and Control of Self-Organization|129|Invited Talk e-session|589|Christoph von der Malsburg||Christoph von der Malsburg|Advanced Introduction invited talk|0|||UTC+2|[7,16]||
411|Pervasive adaptation: knowledge commons and design contractualism|7|Engineering and Control of Self-Organization|129|Invited Talk e-session|590|Jeremy  Pitt||Jeremy  Pitt|Advanced Introduction invited talk|0|||UTC+0|[10,19]|[10,17]|
412|Swarm chemistry: guiding designs of self-organizing swarms|7|Engineering and Control of Self-Organization|129|Invited Talk e-session|591|Hiroki  Sayama||Hiroki  Sayama|Advanced Introduction invited talk|0|||UTC-7||[17,24]|[1,3]
413|Synthetic biology: toward a behavior-matching genomic compiler of desired cell functions|7|Engineering and Control of Self-Organization|129|Invited Talk e-session|592|Franck  Delaplace||Franck  Delaplace|Advanced Introduction invited talk|0||||||
437|Why Soft Robots are So Hard  -- an advanced introduction to soft and amorphous robotic systems.|7|Engineering and Control of Self-Organization|129|Invited Talk e-session|627|John  Rieffel|US|John  Rieffel|Advanced Introduction invited talk|0|||UTC-4|[14,21]|[13,20]|
438|Spatial computing: from interaction to computation|7|Engineering and Control of Self-Organization|129|Invited Talk e-session|628|Antoine  Spicher||Antoine  Spicher|Advanced Introduction invited talk|0||||||
209|Transition from one superstatistics to another|8|Foundations of Complex Systems Science|126|Invited Talk e-session|364|Christian  Beck||Christian  Beck|Advanced Introduction invited talk|0|||UTC+1|[7,9],[13,22]|[7,14],[18,22]|
211|On ubiquity of quasi-power law distributions|8|Foundations of Complex Systems Science|126|Invited Talk e-session|366|Grzegorz  Wilk|PL|Grzegorz  Wilk|Advanced Introduction invited talk|0|||UTC+2|[8,11],[13,16]|[8,11],[13,16]|
214|Groups, entropies and number theory|8|Foundations of Complex Systems Science|126|Invited Talk e-session|369|Piergiulio  Tempesta||Piergiulio  Tempesta|Advanced Introduction invited talk|0|||UTC+2|[8,13]|[8,14]|
221|Selective altruism in collective games|8|Foundations of Complex Systems Science|126|Invited Talk e-session|376|Alessandro  Pluchino||Alessandro  Pluchino|Advanced Introduction invited talk|0||||||
222|From brain activity to financial markets via complex systems science|8|Foundations of Complex Systems Science|126|Invited Talk e-session|377|Mina  Teicher||Mina  Teicher|Advanced Introduction invited talk|0||||||
224|Central limit behavior in dissipative and conservative dynamical systems|8|Foundations of Complex Systems Science|126|Invited Talk e-session|379|Ugur  Tirnakli||Ugur  Tirnakli|Advanced Introduction invited talk|0|||UTC+3|[9,17]||
225|Cognitive capacity and earning capacity: tracing dynamics of inequality in complex systems|8|Foundations of Complex Systems Science|126|Invited Talk e-session|380|Shu-Heng  Chen||Shu-Heng  Chen|Advanced Introduction invited talk|0||||||
234|Non extensive self-consistent thermodynamics|8|Foundations of Complex Systems Science|126|Invited Talk e-session|389|Airton  Deppman||Airton  Deppman|Advanced Introduction invited talk|0|||UTC-3|[13,15],[17,20]|[13,15],[17,20]|
235|Control of complex systems|8|Foundations of Complex Systems Science|126|Invited Talk e-session|390|Robert  MacKay||Robert  MacKay|Advanced Introduction invited talk|0|||UTC+1|[15,17]|[8,10]|
252|From mechanical to biological oscillator networks|8|Foundations of Complex Systems Science|126|Invited Talk e-session|421|Tassos  Bountis|GR|Tassos  Bountis|Advanced Introduction invited talk|0|||UTC+3 hours|[19,22]||
256|Correlated systems and extensivity of entropy|8|Foundations of Complex Systems Science|126|Invited Talk e-session|425|Evaldo M.F Curado|BR|Evaldo M.F Curado|Advanced Introduction invited talk|0|||UTC-3||[14,16],[18,21]|
257|Entropy, earthquakes and tumors|8|Foundations of Complex Systems Science|126|Invited Talk e-session|426|Oscar  Sotolongo-Costa||Oscar  Sotolongo-Costa|Advanced Introduction invited talk|0|||UTC-5 hours|[17,22]|[14,23]|
259|Economics meets cyber society: rational behaviour in the 21st century|8|Foundations of Complex Systems Science|126|Invited Talk e-session|428|Paul  Ormerod|GB|Paul  Ormerod|Advanced Introduction invited talk|0|||GMT+1|[13,19]|[11,17]|
281|How information comes to matter: bridging the foundations of complex systems in the natural/formal and human sciences|8|Foundations of Complex Systems Science|126|Invited Talk e-session|450|Maria  Eunice Gonzales|BR|Maria  Eunice Gonzales|Advanced Introduction invited talk|0||||||
297|Non-extensive statistical models of hadronization|8|Foundations of Complex Systems Science|128|Open e-session|468|Tamas  Biro|HU|Tamas  Biro|Advanced Introduction invited talk|0|||UTC+2|[8,15]|[8,16]|
323|Statistical mechanics for complex systems: Foundations and applications|8|Foundations of Complex Systems Science|126|Invited Talk e-session|498|Constantino  Tsallis||Constantino  Tsallis|Advanced Introduction invited talk|0|||UTC-3 hours|[11,24]|[11,24]|
351|Multiscale dynamics and symmetries: multifractals and stochastic Lie algebra|8|Foundations of Complex Systems Science|126|Invited Talk e-session|527|Daniel  Schertzer|FR|Daniel  Schertzer,Ioulia  Tchiguirinskaia|Advanced Introduction invited talk|0||||||
373|Big data and complex systems: towards a topological field theory of data|8|Foundations of Complex Systems Science|126|Invited Talk e-session|550|Mario  Rasetti||Mario  Rasetti|Advanced Introduction invited talk|0|||UTC-4||[7,24]|[1,7]
374|Like bees and flowers: from mutualistic ecosystems to economic structures|8|Foundations of Complex Systems Science|126|Invited Talk e-session|551|Laura  Hernandez|FR|Laura  Hernandez|Advanced Introduction invited talk|0|||UTC+2|[7,18]|[7,18]|
401|Statistical physics and statistical inference|8|Foundations of Complex Systems Science|126|Invited Talk e-session|580|Cris  Moore||Cris  Moore|Advanced Introduction invited talk|0||||||
443|The Brain at the Edge of Chaos|8|Foundations of Complex Systems Science|157|Hot Topics in the Study of Complex Systems in Asia|633|Teck  Liang Tan||Teck  Liang Tan,Siew Ann  Cheong|Advanced Introduction invited talk|0||||||
444|China and Global Finance-Transformations of a Complex System|8|Foundations of Complex Systems Science|157|Hot Topics in the Study of Complex Systems in Asia|635|Carlo C.  Jaeger||Carlo C.  Jaeger|Advanced Introduction invited talk|0||||||
445|Regime Shifts in the US Housing Market: Precursors and Energy Landscape|8|Foundations of Complex Systems Science|157|Hot Topics in the Study of Complex Systems in Asia|636|James  Tan||James  Tan,Siew Ann  Cheong|Advanced Introduction invited talk|0||||||
446|Developing an Integrated Risk Governance Framework to Support Climate Adaptation Policy Making in China|8|Foundations of Complex Systems Science|157|Hot Topics in the Study of Complex Systems in Asia|638|Qian  Ye||Qian  Ye,Rebecca  Nadin|Advanced Introduction invited talk|0||||||
447|Optimal investment planning for improving highway network performance in the context of tropical cyclones|8|Foundations of Complex Systems Science|157|Hot Topics in the Study of Complex Systems in Asia|640|Fuyu  Hu||Fuyu  Hu,Saini  Yang|Advanced Introduction invited talk|0||||||
448|Intervention of DeGroot Model based Opinion dynamics by Soft Control|8|Foundations of Complex Systems Science|157|Hot Topics in the Study of Complex Systems in Asia|642|Huawei  Han|CN|Huawei  Han,Chengcang  Qiang,Jing  Han|Advanced Introduction invited talk|0||||||
449|Concilience Degree: A New Angle to bridge Diversity Theory and May-Winger Theorem|8|Foundations of Complex Systems Science|157|Hot Topics in the Study of Complex Systems in Asia|645|Xiao-Bing  Hu|CN|Xiao-Bing  Hu|Advanced Introduction invited talk|0||||||
450|Identifying the representative works of scientists|8|Foundations of Complex Systems Science|157|Hot Topics in the Study of Complex Systems in Asia|646|Qikai  Niu|CN|Qikai  Niu,An  Zeng,Ying  Fan,Zengru  Di|Advanced Introduction invited talk|0||||||
451|Investigation on coupled Social-Ecological Regime shifts in the Setting of Complex Social Interactions|8|Foundations of Complex Systems Science|157|Hot Topics in the Study of Complex Systems in Asia|650|Hendrik Santoso Sugiarto|SG|Hendrik Santoso Sugiarto,Ning Ning  Chung,Choi Heng  Lai,Lock Yue  Chew|Advanced Introduction invited talk|0||||||
452|Exploring the patterns in the undergraduate curriculum from the perspective of networksAs time goes on, mountains of files recording undergraduate students' academic performance are left silently in the archive rooms of universities and colleges. How to a|8|Foundations of Complex Systems Science|157|Hot Topics in the Study of Complex Systems in Asia|655|Yichuan  Hu|CN|Yichuan  Hu,Haipeng  Peng,Shijie  Lu,Jinghua  Xiao|Advanced Introduction invited talk|0||||||
453|Ranking scientific publications with similarity-preferential mechanism|8|Foundations of Complex Systems Science|157|Hot Topics in the Study of Complex Systems in Asia|659|Jianlin  Zhou|CN|Jianlin  Zhou,An  Zeng,Ying  Fan,Menghui  Li,Zengru  Di|Advanced Introduction invited talk|0||||||
454|Multi-agent model and mean field theory of complex auction dynamics|8|Foundations of Complex Systems Science|157|Hot Topics in the Study of Complex Systems in Asia|664|Qinghua  Chen|CN|Qinghua  Chen,Zi-Gang  Huang,Yougui  Wang,Ying-Cheng  Lai|Advanced Introduction invited talk|0||||||
17|A simple complex system insight into macroeconomics|12|From Fields to Territories to the Planet|84|Economics as a Complex Evolutionist System e-session|24|Steve  Keen|GB|Steve  Keen|New Result invited paper|0||||||
27|Foundation of CS-DC e-laboratory: Open Systems Exploration for Ecosystems Leveraging|12|From Fields to Territories to the Planet|82|Open Systems Exploration for Social-Ecological Sustainability e-session|37|Masatoshi  Funabashi|JP|Masatoshi  Funabashi|Advanced Introduction invited talk|2||||||
29|Open Systems Exploration -An Example with Ecosystems Management-|12|From Fields to Territories to the Planet|82|Open Systems Exploration for Social-Ecological Sustainability e-session|39|Masatoshi  Funabashi||Masatoshi  Funabashi|New Result invited paper|2||||||
52|Modeling and performance evaluation of the intermodal freight transportation chain (door to door service)|12|From Fields to Territories to the Planet|86|Integrative Logistics e-session|102|Fairouz  GOUIZA|FR|Fairouz  GOUIZA,BENABDELHAFID  Abdelatif,YASSINE  Adnan|New Result invited paper|2||||||
58|Process Modeling of an International Transport Chain through the Simulation Tool SIMPROCESS|12|From Fields to Territories to the Planet|86|Integrative Logistics e-session|111|fouad  jawab|MA|fouad  jawab,KAWTAR  AKOUDAD|Short paper|2||||||
76|Is the Lean Organisation a Complex System?|12|From Fields to Territories to the Planet|83|4P-Factories (e-lab) e-session|142|Pierre  Masai|BE|Pierre  Masai,Pierre  Parrend,Nicolas  Toussaint,Pierre  Collet|Short paper|2||||||
83|An Artificial Immune Ecosystem model for hybrid cloud supervision|12|From Fields to Territories to the Planet|83|4P-Factories (e-lab) e-session|154|Fabio  Guigou|FR|Fabio  Guigou,Pierre  Parrend,Pierre  Collet|Short paper|2|||UTC+2|[8,11],[13,16]|[8,11],[13,16]|
91|A study of heterogeneity in a stock market simulator based on a model of agents that learn from experience in a market with multiple stocks|12|From Fields to Territories to the Planet|84|Economics as a Complex Evolutionist System e-session|165|Wagner Vieira Ramos|BR|Wagner Vieira Ramos|Full paper|2||||||
105|Designing a dashboard for evaluating the performance of urban transport : Case of Balanced Scorecard|12|From Fields to Territories to the Planet|86|Integrative Logistics e-session|229|imane  Moufad|MA|imane  Moufad,fouad  jawab|New Result invited paper|2|||UTC+1|[14,17]||
117|A corridor study of multimodal transport of merchandise|12|From Fields to Territories to the Planet|86|Integrative Logistics e-session|219|IBTISSEM  SASSI|TN|IBTISSEM  SASSI,Abdellatif  BENABDELHAFID,SAMI  HAMMAMI|New Result invited paper|2||||||
134|Optimizing Multimodal Interisland Freight Transport Network Modeling Using Genetic Algorithm-Based Procedures for Archipelagic Region in Indonesia|12|From Fields to Territories to the Planet|86|Integrative Logistics e-session|252|Imam  Sonny|ID|Imam  Sonny|New Result invited paper|2||||||
139|DYNAMIC EMISSIONS REDUCTION FROM VEHICLES WITH  TECHNICAL AND BEHAVIORAL APPROACH|12|From Fields to Territories to the Planet|86|Integrative Logistics e-session|259|Nadia  Hamani|FR|Nadia  Hamani|Short paper|2||||||
140|IMPROVEMENT OF THE BAGGAGE HANDLING SYSTEM AT AIRPORT|12|From Fields to Territories to the Planet|86|Integrative Logistics e-session|260|Nadia  Hamani|FR|Nadia  Hamani|New Result invited paper|2||||||
163|Contribution to the Development of a Logistics Audit Approach|12|From Fields to Territories to the Planet|86|Integrative Logistics e-session|288|fouad  jawab|MA|fouad  jawab,KAWTAR  AKOUDAD|Advanced Introduction invited talk|1||||||
178|Logistics and Territory;integrative approach|12|From Fields to Territories to the Planet|86|Integrative Logistics e-session|322|IBTISSEM  sassi|TN|IBTISSEM  sassi|Full paper|2||||||
189|PLM (Product Lifecycle Management): a key to manage supply chain complexity|12|From Fields to Territories to the Planet|86|Integrative Logistics e-session|340|Imane  BOUHADDOU|MA|Imane  BOUHADDOU,Abdellatif  BENABDELHAFID|New Result invited paper|2||||||
192|Shall The Traffic Separation Scheme (TSS) at Sunda strait implemented to reduce the occurrence of ship accidents?|12|From Fields to Territories to the Planet|88|Engineering of Territory Sustainability e-session|345|Priadi Arif Antoni|ID|Priadi Arif Antoni,benabdelhafid  abdellatif|New Result invited paper|2||||||
202|Matrimonial patterns and trans-ethnic entities|12|From Fields to Territories to the Planet|147|Social Patterns in Multicultural Environments|356|Philippe  Ramirez|FR|Philippe  Ramirez|Short paper|2|||UTC+2|[8,11],[14,18]|[8,11],[14,18]|
219|Why the complex systems approach represents a paradigm shift in economics|12|From Fields to Territories to the Planet|84|Economics as a Complex Evolutionist System e-session|374|Alan  Kirman||Alan  Kirman|Advanced Introduction invited talk|0||||||
228|Models with heterogeneous interacting agents|12|From Fields to Territories to the Planet|84|Economics as a Complex Evolutionist System e-session|383|Mauro  Gallegati|IT|Mauro  Gallegati|New Result invited paper|2||||||
231|Macroeconomics as complex system with heterogenous interacting agents|12|From Fields to Territories to the Planet|84|Economics as a Complex Evolutionist System e-session|386|Mauro  Gallegati|KR|Mauro  Gallegati|Advanced Introduction invited talk|0|||9|[9,17]||
242|Are innovation systems complex systems?|12|From Fields to Territories to the Planet|84|Economics as a Complex Evolutionist System e-session|403|Emmanuel  Muller||Emmanuel  Muller|Short paper|2||||||
270|Big Data, Human trace ad Profiling|12|From Fields to Territories to the Planet|76|Human-Trace e-session|439|Joel  Colloc|FR|Joel  Colloc|Advanced Introduction invited talk|0||||||
272|The Traces of Homo Ludens|12|From Fields to Territories to the Planet|76|Human-Trace e-session|441|Maude  Bonenfant|CA|Maude  Bonenfant|Advanced Introduction invited talk|0||||||
273|The Explosion of Questions posed by the Paradigm of Human-Trace|12|From Fields to Territories to the Planet|76|Human-Trace e-session|442|Béatrice  Galinon-Melenec|FR|Béatrice  Galinon-Melenec|Advanced Introduction invited talk|0||||||
277|Territory as narrative|12|From Fields to Territories to the Planet|88|Engineering of Territory Sustainability e-session|446|Eddie  Soulier||Eddie  Soulier|Advanced Introduction invited talk|0||||||
322|Spatialisation of Soil Erosion Susceptibility Using USLE Model|12|From Fields to Territories to the Planet|88|Engineering of Territory Sustainability e-session|497|Zahira  Souidi|DZ|Zahira  Souidi|Poster|2||||||
327|Comparison of single and multiplex patent networks|12|From Fields to Territories to the Planet|80|Territorial Intelligence for Multi-level Equity and Sustainability e-session|502|Panos  Argyrakis|CH|Panos  Argyrakis|Advanced Introduction invited talk|0||||||
328|Randomized models and algorithms for complex interactions in multilevel networks|12|From Fields to Territories to the Planet|80|Territorial Intelligence for Multi-level Equity and Sustainability e-session|503|Sotiris  Nikoletseas|GR|Sotiris  Nikoletseas|Advanced Introduction invited talk|0||||||
330|Territorial  glocalization|12|From Fields to Territories to the Planet|80|Territorial Intelligence for Multi-level Equity and Sustainability e-session|505|Isabelle  Marcos|PT|Isabelle  Marcos|Advanced Introduction invited talk|0||||||
331|Scaling laws in Chinese urban system in light of harmonized data|12|From Fields to Territories to the Planet|80|Territorial Intelligence for Multi-level Equity and Sustainability e-session|506|Elfie  Swerts|FR|Elfie  Swerts|Advanced Introduction invited talk|0|||UTC-7 hours|[15,24]|[1,2],[15,24]|
341|Sustainable territorial development based on innovative exploring of local talents|12|From Fields to Territories to the Planet|88|Engineering of Territory Sustainability e-session|517|Eunika  Mercier-Laurent||Eunika  Mercier-Laurent|Advanced Introduction invited talk|2|||1600 UTC Day 1|[16,21]|[9,11],[15,20]|
344|Schematizing territories using Q-analysis and category theory|12|From Fields to Territories to the Planet|88|Engineering of Territory Sustainability e-session|520|Pierre  Saurel||Pierre  Saurel|Advanced Introduction invited talk|2||||||
381|xx|12|From Fields to Territories to the Planet|80|Territorial Intelligence for Multi-level Equity and Sustainability e-session|558|Olivier  Finance||Olivier  Finance|Advanced Introduction invited talk|2||||||
398|Building and exploring systems of cities models via high performance computing|12|From Fields to Territories to the Planet|80|Territorial Intelligence for Multi-level Equity and Sustainability e-session|575|Paul  Chapron||Paul  Chapron|Advanced Introduction invited talk|0|||UTC+2|[8,18]|[9,13],[14,19]|
439|Scaling Laws in Urban Evolution: A Construction in Territorial Intelligence|12|From Fields to Territories to the Planet|80|Territorial Intelligence for Multi-level Equity and Sustainability e-session|629|Denise  Pumain|FR|Denise  Pumain|Advanced Introduction invited talk|0||||||
440|The City as Maximization of Interactions: The Role of Networks? Local Density in the Position of Cities in Globalization|12|From Fields to Territories to the Planet|80|Territorial Intelligence for Multi-level Equity and Sustainability e-session|630|Céline  Rozenblat||Céline  Rozenblat|Advanced Introduction invited talk|0|||UTC-7|[14,24]|[1,7]|
455|Scaling laws to explore innovative behavior of transnational investment|12|From Fields to Territories to the Planet|80|Territorial Intelligence for Multi-level Equity and Sustainability e-session|668|Olivier  Finance|FR|Olivier  Finance|Advanced Introduction invited talk|0||||||
11|Modelling of continuous and categorical decision-making behavior in sailing|11|From Individual to Social Cognition|94|Ecological Approach of Sport and Sport Education e-session|14|Duarte  Araujo|PT|Duarte  Araujo|Advanced Introduction invited talk|2||||||
39|Ecological Dynamics: a theoretical framework for understanding sport performance, physical education and physical activity|11|From Individual to Social Cognition|94|Ecological Approach of Sport and Sport Education e-session|68|Ludovic  Seifert|FR|Ludovic  Seifert,Keith  Davids|Full paper|2||||||
